"image","title","price","location_info","description","coordinates"
"https://scontent.famd5-4.fna.fbcdn.net/v/t45.5328-4/467277379_583295137627302_1645895835364049004_n.jpg?stp=dst-jpg_p720x720_tt6&_nc_cat=110&ccb=1-7&_nc_sid=247b10&_nc_ohc=4q2S-zJ0iDsQ7kNvgGd85qA&_nc_zt=23&_nc_ht=scontent.famd5-4.fna&_nc_gid=A840hNe0fiu6HRMhoXxAJ19&oh=00_AYAbQtlq0Ecw2h0-w06Knv6-X0HlFWX3PYWkOj5Xdhlhug&oe=676B2671","3 Beds 2 Baths House","$600/month","Geneva Ave, West Hartford, CTCat-friendlyListed over a week ago · Available on 2024/12/31","Seeking cleanly roommate that does not routinely disrupt typical quiet hours to share spacious 3-bedroom house.  Current roommates are one male and one female in their late 20s - early 30s.  LGBTQIA friendly. Ideally looking for someone who is a little laid back, chill and who is comfortable with a house cat.  Requested move-in date is Jan 1st, 2025. - Utilities not included -Base rent = $600w/utilities = $700-750Security deposit = $600Features: On-site parking, street parking, garage, washer(new)/dryer, shared bathroom (w/ female tenant), pool table, spacious basement can be used for storage, a large living room, spacious kitchen, code-lock door, 5-min drive from West Hartford Center and Blue Back SquareWalking Distance:West Hartford Reservoir, Buena Vista Golf Course, grocery store, CVS, Dunkin'Additionally:Landlord is incredibly helpful and resourceful.  Handyman who fixes any significant problems.","41.75129,-72.77224"
"https://scontent.famd5-4.fna.fbcdn.net/v/t39.30808-6/466128476_10229875966056303_4089517366859997404_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=110&ccb=1-7&_nc_sid=454cf4&_nc_ohc=gol-AnIsz9UQ7kNvgHlKLoM&_nc_zt=23&_nc_ht=scontent.famd5-4.fna&_nc_gid=AnnGek7LuRgVEDGbizX83ux&oh=00_AYD9sNXPP5lQimdGi6G2IdLkj4xh6BnhyNNdbmjJdFNLTg&oe=676B53FA","2 Beds 1 Bath - Apartment","$1,700/month","130 Clinic Dr, New Britain, CTDog and cat-friendlyListed over a week ago · Available now","Nice two bed apartment heat and hot water included parking available washer and dryer machine  ","41.64888,-72.78333"
"https://scontent.famd5-2.fna.fbcdn.net/v/t39.30808-6/465112922_510315402005671_8132364189611425533_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=105&ccb=1-7&_nc_sid=454cf4&_nc_ohc=0aY2DMtDQCsQ7kNvgElYrNM&_nc_zt=23&_nc_ht=scontent.famd5-2.fna&_nc_gid=AJB7DaFPayr1XQdEaaZ7W87&oh=00_AYC9H7jOzqOFd8B-AoMUaV_1THO4b-cPhryCGCP4lROq3A&oe=676B2198","1 Bed 1.5 Baths - Apartment","$1,650/month","15 Covington St, New Britain, CTCat-friendlyListed over a week ago · Available now","Super cool layout! 1BD 1.5BAHeat and HW included Sorry only space for 1 car per tenant  ","41.69047,-72.76153"
"https://scontent.famd5-3.fna.fbcdn.net/v/t39.30808-6/468661192_10235433216713858_5983810437221355095_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=102&ccb=1-7&_nc_sid=454cf4&_nc_ohc=t73GKeEx88kQ7kNvgHcsB33&_nc_zt=23&_nc_ht=scontent.famd5-3.fna&_nc_gid=AAl3yRuG0lpdCG-SaQniam-&oh=00_AYDizqWBfz-k3EZG1I-w_9c_Qbt8WWcQP8sh1yFzUCle8Q&oe=676B3264","2 Beds 1 Bath - House","$1,800/month","19 Woodland St, Plainville, CTListed over a week ago · Available now","2nd floor apartment in a quiet part of plainville. This is a 2 bedroom 1 bathroom apartment with an Electric stove top/oven, refrigerator and microwave, washer and drier, two ac units, and a driveway that can fit two cars. It boasts new tile floors in the kitchen, bathroom, washroom, and breezeway. In both bedrooms, dining room, and living room you will find smooth polished wood floors. A quarts countertop in the kitchen and cabinets with plenty of storage. The landlord is responsible for snow removal, landscaping, sewer, and water costs. The renter is responsible for electricity and gas. Close to shopping centers, markets, and restaurants with easy access to I-84 and rt 10. Close by Plainville high school and Linden street middle school. Near the Quinnipiac park and Quinnipiac river and paderewski park for a nice walk or an afternoon fishing.","41.67009,-72.85396"
"https://scontent.famd5-3.fna.fbcdn.net/v/t45.5328-4/468222390_1260864608313929_5124514157028380892_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=106&ccb=1-7&_nc_sid=247b10&_nc_ohc=5rpDqu0AYPYQ7kNvgHDbSxY&_nc_zt=23&_nc_ht=scontent.famd5-3.fna&_nc_gid=A4AGXiBTOTimmRwYgb9gjle&oh=00_AYBt1Q4z0rkwhEM36YtmlDcERMuH0UtOJ_NUKTp9l4y0YA&oe=676B45FE","3 Beds 1 Bath Apartment","$2,200/month","Chestnut St, New Britain, CTDog and cat-friendlyListed over a week ago · Available now","For Rent: Spacious 3-Bedroom Apartment in Prime Location – $2,200/monthLooking for a big, comfortable home in a great location? This 3-bedroom, 1-bathroom apartment on the 1st floor has all the space you need and the convenience you want!Key Features:• Ample Living Space: Whether you’re a growing family or need extra room for a home office or hobby space, this apartment delivers.• Prime Location:• A short walk to the downtown bus terminal, making commuting a breeze.• Close to a bustling shopping center for all your essentials and more.• Parking Included: Two dedicated parking spaces—because searching for parking is no fun.Lease Terms:• Rent: $2,200/month• Move-in Costs: 1st month’s rent + 2 months’ security deposit• Utilities: SeparateThis apartment is all about space and convenience—a rare find at this price point!📞 Contact us today to schedule a showing or apply!Pro tip: Act fast—this much space near downtown doesn’t stay available for long!","41.66639,-72.77348"
"https://scontent.famd5-3.fna.fbcdn.net/v/t39.30808-6/465149346_4105196149714420_2544966991415492493_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=102&ccb=1-7&_nc_sid=454cf4&_nc_ohc=Otp_GCXT1vIQ7kNvgGynIeh&_nc_zt=23&_nc_ht=scontent.famd5-3.fna&_nc_gid=AnSvIT3mrkldf1--ytBc7M6&oh=00_AYCvLAzFmwpQsFZxxTjJu2z7uC4iZWwYKbbYKKwsKDqp1w&oe=676B3D71","Private room for rent","$700/month","New Britain, CTListed over a week ago · Available on 2025/01/31","1 private, unfurnished bedroom with lockable door, small storage closet and other areas to store. Front door and back door entry. The landlord lives downstairs, no pets, couples, kids, or smoking. Close to CCSU and a bus line is like two feet from the house. 700 for rent split electric and Internet (80-100 dollars), free heat and hot water, plenty of parking. I am looking for a quiet, friendly (18+) student or working adult to move into space posted for Feb 2nd, taking over half the lease from the last roommate. Shared living spaces: living room, kitchen, bathroom. No laundry in the unit. I prefer females/enby/queer folks. Must have good credit, background, and appropriate income. Ask any questions","41.68627,-72.75807"
"https://scontent.famd5-4.fna.fbcdn.net/v/t39.30808-6/387048636_10167907216165005_8251521689959193976_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=111&ccb=1-7&_nc_sid=946e27&_nc_ohc=Felaypkv22sQ7kNvgGtgg2m&_nc_zt=23&_nc_ht=scontent.famd5-4.fna&_nc_gid=AYD9MDNqY_aD3TVBwuq08va&oh=00_AYANAs_rL-dYo5A5Q395o4UBN5iC1w1RBGypxHmi31Wo6g&oe=676B2870","2 Beds 1.5 Baths - Townhouse","$1,850/month","Plainville, CTListed over a week ago · Available now","Beautiful 2 Bedroom 1 Bath Condo available for rent starting December 1st for $1,850 in Plainville CT. Nicely maintained & Freshly painted private unit located in private community. Unit comes fully applianced with fridge, stove, and dishwasher. Condo also has a private deck. Condo has Central air conditioning and laminate flooring throughout condo. Unit has 2-bay garage with plenty of storage space. The unit also has a short walk to the downtown area with access to all major interstates and with numerous restaurants and businesses in the area. Tenant pays electric, gas heat & hot water. No smoking or pets. 1st month's rent and 2 month security deposit to move-in. All showings by appointment only73 Broad St, Plainville, CT [hidden information], United States","41.66805,-72.86821"
"https://scontent.famd5-1.fna.fbcdn.net/v/t45.5328-4/468962587_958915816287921_4704092062102319373_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=247b10&_nc_ohc=PBv0ILoOty8Q7kNvgGEbZ2L&_nc_zt=23&_nc_ht=scontent.famd5-1.fna&_nc_gid=AvzNfAvQ2rGEzIx7qlE1uZa&oh=00_AYDuCSt1x4dzoKSc5ENA3D2HTVZEhgSw9_J14FMRUDNquQ&oe=676B1FFF","2 Beds 1 Bath Apartment","$1,750/month","Newington, CTListed over a week ago","Our Woodbridge apartments in Newington are conveniently located near I-91 and I-84. These Woodbridge apartments are minutes from downtown Hartford in Newington.  Area shopping at Westfarms mall and Corbin's Corner. Heat and hot water included!Call [hidden information]","41.71973,-72.72827"
"https://scontent.famd5-3.fna.fbcdn.net/v/t39.30808-6/469236379_10101894560402747_3390098814968717627_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=102&ccb=1-7&_nc_sid=454cf4&_nc_ohc=1Pqg9PLjrKAQ7kNvgHOu2ti&_nc_zt=23&_nc_ht=scontent.famd5-3.fna&_nc_gid=AxTI1nP2x0aUPwGtrtKR8fy&oh=00_AYDcVWJ00ygCYO_W317qUtpX98BNeFI0yWVH4NaNnbyA8w&oe=676B2A33","2 Beds 1.5 Baths Apartment","$1,975/month","New Britain, CTListed over a week ago · Available now","> If ad is up, apartment is available!Ready for move-in NOW!  Rent:  $1,975/mo + gas & electricSecurity deposit:  $3,950Gorgeous 1,400 sf townhouse-style 2-bedroom, 1.5-bath condo, in 1882 school house building! Tall ceilings throughout (living room features 12 foot ceilings, bedrooms are 9 feet tall). New kitchen with soft-close cabinets/drawers and stainless steel appliances, including built-in drawer style microwave and sink disposal. Breakfast bar for two stools overlooks kitchen & living room. Original refinished hardwood floors, concrete floors in bedrooms, massive wood doors and ornate trim & moldings. In-unit laundry with front load machines provided. Tons of closet space. New energy efficient gas heat and central A/C. Nest thermostat. 1 Reserved parking space, plus additional visitor parking. Secured building & mailbox. Steps to Downtown, Five Churches Brewery, Walnut Hill Park, Library, & Museum of American Art. No smoking, no pets, no eviction or criminal history. Minimum income to qualify: $70,000+/year Min. credit score: 600 No Pets, No Smoking, No felonies.Rent:  $1,975/mo + gas & electricSecurity deposit:  $3,95012 month lease. Resident pays for utilities (electric & natural gas). No pets allowed. No smoking. 1 reserved parking space, plus additional visitor spaces. Owner lives on-site.","41.66438,-72.78496"
"https://scontent.famd5-4.fna.fbcdn.net/v/t39.30808-6/470244410_10236832855823555_4390925717547651434_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=111&ccb=1-7&_nc_sid=454cf4&_nc_ohc=uPp_eUCv-kcQ7kNvgG2g-eA&_nc_zt=23&_nc_ht=scontent.famd5-4.fna&_nc_gid=A4pK2ouwMIErqx3GPSg6Eh8&oh=00_AYAYvTs15pde2ef-0PdRw-4n97zlIARZT1vsD3cJ2blJsQ&oe=676B3E87","3 Beds 1 Bath - Apartment","$1,900/month","New Britain, CTDog-friendlyListed 6 days ago · Available now","Este espacioso apartamento en alquiler de 3 dormitorios y 1 baño ofrece hermosos pisos de madera, electrodomésticos nuevos y un garaje independiente para 1 auto. Disfrute de los beneficios de cocinar con gas natural y calentar agua para lograr eficiencia energética, con calefacción de aceite para mayor calidez. Con fácil acceso a la autopista y a pocos pasos del transporte público, esta casa está idealmente ubicada cerca de centros comerciales, supermercados y opciones gastronómicas. Ubicada en un vecindario tranquilo y familiar cerca de parques y escuelas, esta casa combina estilo, conveniencia y un ambiente comunitario acogedor.","41.678264612377,-72.788779727474"
